Permission,PermissionType
DeviceManagementConfiguration.ReadWrite.All,Application
DeviceManagementConfiguration.ReadWrite.All,Delegated
Policy.Read.All,Application
Policy.Read.All,Delegated
Device.Command,Delegated
AppCatalog.ReadWrite.All,Delegated
Calendars.Read,Application
Calendars.ReadWrite,Application
Calendars.ReadWrite,Delegated
Calendars.ReadWrite.Shared,Delegated
Channel.Create,Application
Channel.Create,Delegated
Channel.ReadBasic.All,Delegated
ChannelMember.ReadWrite.All,Application
ChannelMessage.Read.All,Delegated
ChannelMessage.ReadWrite,Delegated
Contacts.Read,Application
Contacts.ReadWrite,Application
Contacts.ReadWrite,Delegated
Contacts.ReadWrite.Shared,Delegated
EAS.AccessAsUser.All,Delegated
EWS.AccessAsUser.All,Delegated
Files.ReadWrite,Delegated
Files.ReadWrite.All,Application
Files.ReadWrite.All,Delegated
Files.ReadWrite.AppFolder,Delegated
Group.Create,Application
Group.Create,Application
Group.ReadWrite.All,Delegated
Mail.Read,Application
Mail.ReadWrite,Application
Mail.ReadWrite,Delegated
Mail.ReadWrite.Shared,Delegated
Mail.Send.Shared,Delegated
MailboxSettings.ReadWrite,Application
MailboxSettings.ReadWrite,Delegated
OnlineMeetingArtifact.Read.All,Application
OnlineMeetingRecording.Read.All,Application
OnlineMeetings.ReadWrite.All,Application
OnlineMeetingTranscript.Read.All,Application
Organization.ReadWrite.All,Application
Organization.ReadWrite.All,Delegated
Reports.Read.All,Application
Reports.Read.All,Delegated
Schedule.Read.All,Application
Schedule.Read.All,Delegated
Schedule.ReadWrite.All,Application
Schedule.ReadWrite.All,Delegated
ShortNotes.ReadWrite,Delegated
Sites.Manage.All,Application
Sites.Manage.All,Delegated
Sites.Selected,Application
Team.Create,Application
Team.Create,Delegated
Team.ReadBasic.All,Application
Team.ReadBasic.All,Delegated
TeamMember.Read.All,Application
TeamMember.Read.All,Delegated
TeamMember.ReadWrite.All,Application
TeamMember.ReadWrite.All,Delegated
TeamMember.ReadWriteNonOwnerRole.All,Application
TeamMember.ReadWriteNonOwnerRole.All,Delegated
TeamsApp.Read.All,Delegated
TeamsApp.ReadWrite.All,Application
TeamsApp.ReadWrite.All,Delegated
TeamsAppInstallation.ReadForChat,Delegated
TeamsAppInstallation.ReadForChat.All,Application
