Permission,PermissionType
IdentityRiskyUser.ReadWrite.All,Delegated
SecurityActions.Read.All,Application
SecurityActions.ReadWrite.All,Application
SecurityEvents.Read.All,Application
SecurityEvents.ReadWrite.All,Application
SecurityEvents.ReadWrite.All,Delegated
ThreatAssessment.Read.All,Application
EntitlementManagement.Read.All,Application
EntitlementManagement.ReadWrite.All,Application
Directory.AccessAsUser.All,Delegated
Directory.ReadWrite.All,Application
Directory.ReadWrite.All,Delegated
Domain.ReadWrite.All,Application
Domain.ReadWrite.All,Delegated
IdentityProvider.ReadWrite.All,Application
IdentityProvider.ReadWrite.All,Delegated
PrivilegedAccess.Read.AzureADGroup,Application
PrivilegedAccess.Read.AzureResources,Application
